sha,issues,change_type,name,additions,removals,context,message
b889ccb83462af0a6524c22a0a6e2e065a46d124,1296;1247,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/jdbc/writebehind/TestWriteBehindConfigurations.java,21,3,48,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/Lit.java,5,1,11,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/SQLBuffer.java,66,35,23,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/QueryHints.java,6,0,4,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/exps/AbstractExpressionBuilder.java,50,1,6,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/HintHandler.java,3,2,12,4
2c3ec958603dc366ce284ebd468856b1e2801d34,2324,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceProductDerivation.java,1,0,6,4
ce89c193f74d91e7ab2fbb674f079137ca52db06,1911,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/StateManagerImpl.java,17,1,8,4
ce89c193f74d91e7ab2fbb674f079137ca52db06,1911,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xs/AccountingHierarchy.java,132,0,0,4
ce89c193f74d91e7ab2fbb674f079137ca52db06,1911,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xs/AccountingHierarchyRate.java,127,0,0,4
ce89c193f74d91e7ab2fbb674f079137ca52db06,1911,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xs/AccountingHierarchyRateOpenJPAKey.java,126,0,0,4
ce89c193f74d91e7ab2fbb674f079137ca52db06,1911,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/xs/TestMergeComplexKey.java,94,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/AbstractJDBCSeq.java,16,33,30,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/TableJDBCSeq.java,175,55,54,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/pom.xml,11,2,12,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AbstractManagedRuntime.java,68,1,17,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/main/java/org/apache/openjpa/ee/AutomaticManagedRuntime.java,62,7,38,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/main/java/org/apache/openjpa/ee/ManagedRuntime.java,23,1,10,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/main/java/org/apache/openjpa/ee/RegistryManagedRuntime.java,15,1,20,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/java/org/apache/openjpa/ee/WASRegistryManagedRuntime.java,74,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/license.txt,18,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/websphere/uow/UOWSynchronizationRegistry.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/wsspi/uow/UOWAction.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/wsspi/uow/UOWActionException.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/wsspi/uow/UOWException.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/wsspi/uow/UOWManager.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,A,openjpa-kernel/src/main/resources/com/ibm/wsspi/uow/UOWManagerFactory.class,0,0,0,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/main/resources/org/apache/openjpa/ee/localizer.properties,15,7,12,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-kernel/src/test/java/org/apache/openjpa/ee/TestWASManagedRuntime.java,0,1,6,4
bd2afc3f70b3fc8f1f132403dfc7ae98fb5a0a60,159;149,M,openjpa-lib/src/main/java/org/apache/openjpa/lib/util/J2DoPrivHelper.java,15,15,29,4
556d796ed38799a7c99d550ba4d79d26a5933abc,2253,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AuditManager.java,17,5,32,4
556d796ed38799a7c99d550ba4d79d26a5933abc,2253,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/Audited.java,33,1,14,4
99f0fd3a0a68123db067aaf024bd286d139f5348,2067,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,40,0,24,4
99f0fd3a0a68123db067aaf024bd286d139f5348,2067,M,openjpa-jdbc/src/main/resources/org/apache/openjpa/jdbc/sql/localizer.properties,4,0,4,4
99f0fd3a0a68123db067aaf024bd286d139f5348,2067,M,openjpa-project/src/doc/manual/ref_guide_dbsetup.xml,21,0,6,4
f90b0bb16fbc181b56c7e256de771bf6f21a0d7b,1631,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/AnnotationPersistenceXMLMetaDataParser.java,20,32,33,4
3aea82e40c85ff6d653095a797b00a189681d64f,1546,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/PersistenceMetaDataFactory.java,7,0,12,4
3aea82e40c85ff6d653095a797b00a189681d64f,1546,M,openjpa-persistence/src/main/resources/org/apache/openjpa/persistence/localizer.properties,2,0,6,4
853fb319ba81e2ad589ac6a7ce47b45de0a2749d,35,M,openjpa-kernel/src/main/java/org/apache/openjpa/datacache/QueryCacheStoreQuery.java,15,10,45,4
853fb319ba81e2ad589ac6a7ce47b45de0a2749d,35,M,openjpa-kernel/src/main/java/org/apache/openjpa/kernel/AbstractBrokerFactory.java,8,0,6,4
853fb319ba81e2ad589ac6a7ce47b45de0a2749d,35,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/datacache/TestBulkJPQLAndDataCache.java,91,0,0,4
853fb319ba81e2ad589ac6a7ce47b45de0a2749d,35,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/test/SingleEMFTest.java,106,0,0,4
853fb319ba81e2ad589ac6a7ce47b45de0a2749d,35,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/test/SingleEMTest.java,14,75,31,4
3f5c5b02356d8a7ddaf103ad4f416cf0a17527ec,2444,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/meta/TestUseSchemaElement.java,3,3,12,9
1a4223d35b6b97d188256ef5777b4a8fc12cdc72,703,M,openjpa-persistence/src/main/java/org/apache/openjpa/persistence/QueryImpl.java,28,11,34,4
7b581bf651f156410f37366a8d4eab7a5888187d,703,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/PreparedQueryImpl.java,0,4,6,4
7b581bf651f156410f37366a8d4eab7a5888187d,703,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/jdbc/sqlcache/TestPreparedQueryCache.java,14,0,6,4
1921d6cc598bc697587a6fd8365b19caca098249,240,D,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/XMLValueHandler.java,0,97,0,4
1921d6cc598bc697587a6fd8365b19caca098249,240,M,openjpa-jdbc-5/pom.xml,5,0,6,4
1921d6cc598bc697587a6fd8365b19caca098249,240,A,openjpa-jdbc-5/src/main/java/org/apache/openjpa/jdbc/meta/strats/XMLValueHandler.java,97,0,0,4
1921d6cc598bc697587a6fd8365b19caca098249,240,M,openjpa-persistence-jdbc/pom.xml,0,5,6,4
5a39d5ae1a2f3d705bd656b60dabf2666f5df0a5,1558,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/meta/strats/InValueDiscriminatorStrategy.java,17,5,12,5
5a39d5ae1a2f3d705bd656b60dabf2666f5df0a5,1558,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/discriminator/fetch/Employee.java,42,0,0,5
5a39d5ae1a2f3d705bd656b60dabf2666f5df0a5,1558,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/discriminator/fetch/Manager.java,43,0,0,5
5a39d5ae1a2f3d705bd656b60dabf2666f5df0a5,1558,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/discriminator/fetch/Person.java,43,0,0,5
5a39d5ae1a2f3d705bd656b60dabf2666f5df0a5,1558,A,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/discriminator/fetch/TestLazyFetch.java,112,0,0,5
c534d29cb7b6163e1a7a8054ff7774f48a527a76,1285,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/JDBCStoreManager.java,4,10,12,4
7b3de6da75dd74937b5bf9dc8fcae33912a99147,1547,M,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/kernel/exps/JDBCExpressionFactory.java,2,1,6,4
7b3de6da75dd74937b5bf9dc8fcae33912a99147,1547,M,openjpa-persistence-jdbc/src/test/java/org/apache/openjpa/persistence/subquery/TestJPQLSubquery.java,14,0,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/EntityTypeView.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/InstanceView.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/MetamodelHelper.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/MetamodelView.java,0,2,12,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/PowerPointViewer.java,0,2,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/ScrollingTextPane.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/jpa/tools/swing/SourceCodeViewer.java,0,2,10,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/openbook/client/BuyBookPage.java,0,3,16,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/openbook/client/Images.java,0,6,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/openbook/client/SourceCodeBrowser.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-examples/openbooks/src/main/java/openbook/tools/parser/JavaLexer.java,0,1,6,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-integration/daytrader/src/test/java/org/apache/openjpa/integration/daytrader/TradeBuildDB.java,0,7,7,4
945cd6b206dd4897d40cfe6ec65f12b7aa1aa7d5,2200,M,openjpa-integration/validation/src/test/java/org/apache/openjpa/integration/validation/Book.java,0,1,6,4
