metadata,unique_words,total_words
bde291627341e5b5c1890b7cb4009ed31fc1d35a,60,164
153f7dff378b46a0adf699ed05421964dc14802e,52,85
9840cdc1f4720c523f54ce8fffe873dc5bb65cb7,205,2509
20fdfa276ba5cb6ce8a0acf3e51f476a8ed018fc,81,239
a3a316e0edbe7dcd4ddc426883be2ba1452d3194,201,521
8a1311f7aae503ecca7477aa5613902371e51f3e,245,2772
feb8e9f849c4410a7fdfd94e83f34e37a224bc9f,74,192
d6060c182aec623f68236c2a0ec084f87c04d4a2,81,407
acaa32919b9d3384878b19f6c4501bda160ae270,51,94
50116fd16577ee2b64bb1096088784a723342caa,109,790
0c554fece485b2300d5ae30361f9e40449151ec2,417,20384
aa90ad512473dd95c744344d85f6315002d6ebe1,33,63
464a9751d5169ee28158fc18ca895aee69043502,88,466
c85fe4b0408b4dbea254924aaae20188cebf976b,53,136
32de59fdb89c07dc49eef22b815e1298c6806a01,202,1728
ff393ebd343e52111969e8c832824e375ea2e939,43,325
b846178405283244ef03fe70eab233f744a21354,64,135
05f2429a7b09f0bbba1ee0190ea575b855ac6ec5,728,5721
ea71e00e9f13f49d44ab728fac55148f3071bfbc,62,209
7b946b45bad25b4631ce865f75b9568f62e35b7f,153,678
056270333d6047ce837d6708ccafacc241ee39d2,494,4789
eef17cb7bd1a0c4295a608a2b5f39707f427a3ca,35,42
b783c05b47d65f04645fdb703ddd49c2e9bc6942,40,100
2bd8c695605491c9377f9f81dbb6243158d0950b,67,146
466b2dd953d29ebba53b1f1f3d9f3099c15693b5,71,409
1325b447001f38ac8ed0b3f0b6db8bde304c8eb7,83,371
4850c9aec5a13f16abf3f88b0e66377f3058e238,81,269
6d2fcc8335aba8d79725449e7c03951b15ea1a92,92,282
e7d2a18f151320e0e47a8a7961c5c72240987015,282,2654
524c25466ec2ea5dc27ed7625fecee7ce23032af,376,1675
2cac2376c06f182b7db961c2b116cc6d8cdaeb88,69,144
7fa72c17035a085a44b74b7b06c8c79df63f2463,199,1038
06d5d4c6ea2b66543a5dab55e9f87a504f4c6d06,97,251
707d5f9d8ff4ab5bee3e6e76d5d6af564be28f45,131,642
31c1e92cab90c831473e0be9dade25a2dcd68049,93,265
3a525e139bed4070dc6c65b10caa297418894918,77,218
f5d9a13a3c0dbc6a95263293cdd142084adaacbc,159,782
6135b5cf6010abb6beafca22eeaad187f54ff1a7,166,780
234de97337a7afa2cff4447f4d87a6efb984c1f2,417,10139
124dccdb265953b49be090acc79da1476a7b34a2,114,678
2863680cfb2db7ef01e285e387dd8a914adf1c94,51,75
6e74ce71d22b5ec4547e72ee914ab41fe5ead29b,87,263
11e13fd0c110a21a777dad91c4a3d308598d2bdf,175,1675
f6b460a9e0638def7dc673df0fc18e0dd10d05d5,258,2343
1a44d42f359aaa97ccf093d7ddbc68d9cdce80c6,87,407
c22402a8f00c3e8981dd3da22e8d4324eb115d2b,208,795
9145738488b57c104b4db2e59a5766b1bef46127,32,47
1e03367a93ddd01d43e7c5135f7a823de93a4f37,117,391
1c92b8095da72167f3506a254ee55ba1e2c26586,189,1473
3c0c01782e0be83f4c256cc46008b9fb76d59263,566,14604
5ca8439befce31faf9113c56ae976c1bb029dd02,44,109
de3f4c6a703a958b9e8958c80c290cec96f83b0c,70,264
910ae2318ffaad5590b5a80a881ab5ddc54de338,441,7103
91d93e5151115fba4796a98d2df66112512065ea,44,212
149e0fcf54970b106c6ae0b68fb8f2d3a551238d,36,62
6750e702a0ad8cf6955c295f2b649e3f147d8e7c,207,2257
24c17e8a0e8e306ef15e0cb9cb5a36c3e1fd49a3,129,794
476ae8bd9d077eb3f586c7fae9bae2c8bfe896e0,154,1155
4002b6ee59cec6b6485607566858a5988fc4f007,132,1074
677d688d8fd315d2f11378b64c581f144fccae8e,43,99
86c04a3f475902442731221e2a625fd12cae5ee7,129,794
1fe1ccdd7fc6904d938d5920623474fe2bcc4378,1469,49178
378d5d762d53b01ccc27f1d1f1741b22f58f51a2,108,358
df11dd9597533c3dc6b89d3232357ace514ffef0,108,358
f66fc9dab964752df5bd7e6b0024300f86e1153c,119,473
ee6a885966c0bf2001693d208a891bb6de13cb93,100,315
7eafc4c02e45e6cb710413990708dbc696df185f,86,245
e7d5091bd8ce01ca938d38831adcbb6b9c01daa9,104,382
f7727c7592c4e40e01ae5217702958f655794e61,47,97
feb779636438a0aed28440fefa72286bbf4e6343,96,350
5e9366de6cfd0eb8c672703d0d5b9c3b79d8273e,59,167
78ec9bbfdda4a98a6886c900b72f76acdfe5f506,141,507
c986e9575e1a2413cc19350cde3d56da96f7b944,47,127
952fd33b38f74e63d2b1c5bd8918cb94145141a6,138,485
dd4ad00cb36ef51b165eb7a4959eac30911596ed,108,367
e3e8cca6e469d0dac2668b80709e1c1e19ff73cb,63,286
1224b126b71b045d9495815a531110b4f9cb9386,60,175
4965e384a430f1a8030310e9c0e5188b54a1f4ca,130,1075
553cc762c20a045ea691b301e5b50d5a96b67fc8,100,548
6907a62fde2853a12fa59966305fa01628aae3db,51,172
519df5154a9120dcfa69e55b91fdbf7701764c27,61,158
b214ac6af962bfc054c6094ad95ecbfacbe5960c,177,1586
d9e7bb7022d5eb0434d8cff361db82d3641c203f,113,394
9eb1ddeac139cca60dd7343f902db10e70648eea,740,31938
d0c3cd43225c11618c2cd62b24cabca7afc6c38e,30,208
c3ee0ff17dc49bb35e412f62e61532e8ddd308aa,15,34
f831193b107eb15c7de47f72d5fbccc98df35aa7,86,255
8516657cd323d981ec96ec5f0d5ae32b37c77c19,75,243
fb4a7b9a87e6d59b0d4ff721db8065a13ad6a380,76,241
6c8d2f94363e8fe56ea2a9a6d5e1396efcb63ed4,111,374
bb6cafbb2d9e9edc1f4413bcab4c849d3d53cc4a,2454,171547
cbc7b5ef56682267be48a40b5ea69630d7e42c8d,169,797
5fafe70be244ccbe2d8c587fc26c837ec278478e,125,396
abe0b6237eee0ca3e6129a176e2c7c4b8dcea081,260,2395
94d92e17670e89db3bc53168b08b26527e98dd68,80,312
9d53bde81eda81de702bd86660a9d45ae376e6fc,87,360
f0cee4a76675be27e2015ffd1bbddd41a378d5ac,158,1362
bd46171cfddd4cd3e251472b11e1940c4270f927,22,47
5007159fd23440a62f35d29f90cabf2aa3d0b22e,75,160
c19bbe5e847dc0a0d35eb3eb7b9f06ec1cbcf1de,362,3020
54f3e9dc17a50276b4cf039153eab37e90476efa,18,140
f88e5e037360d8c594a7b82939daa583e47f2fd4,300,1774
dec18ee78ca0305b549f8593acfc7aeeff9b23ee,171,913
cea3ee874dba152f7bfdf1a6d5b86b0890d360cb,57,120
861fae0c8286a2ee53cf1cae8e514ca6bef7a461,144,595
1b7768623d4c796e8e0f5f874d2c7d8fd842a5db,353,5552
f7950dae9bb189cf35a230a2225c49258e29779b,49,134
fe56776529245e884c97d1d14de9c45f7e0fd5da,131,732
01e9e2674ca142d349832376cd0bab802bd5ffaa,168,1219
f7d6e2fc7b51721f04801d7864c0d749932ef143,445,5949
0d785f079f9e64643bda44f36742c5c9f8e16c20,124,465
af4e2f236d3c5d30dc6723d29cca7969f2bc0c29,107,381
c0f9f1dcb75ec3683fd4982afca3cb0296febd3b,93,710
4c776370341f6d1bf8be942ee6ce6bfc61214250,101,194
679cb658c6959a5483eacfbdf8d71b0c1e49623e,31,70
fa804e71b08ac4f697d15e90ef66e6a2c6e4d1a5,131,732
73c97fcb8ff50b1adee4bac43c6e5d0cbefcadd9,36,126
c76bb96822c69737cec86b1ea4922aa2f389382a,467,12458
5316a1544c728189cdf2e33aa5003c517930a0ec,258,4455
44564540e837055ef8ecedaefeadeda2d69ab0aa,140,1172
1fdf56ddbd0d1adc196d90b02763f4e1507e1a1e,230,14194
96dfd92ce243f3a4ab05737476424447a946bcdc,173,1410
487d349573f269c69047526a8fe80febaa3a5e9e,50,172
02c0062573c3b4b390acabe5b401d661ce2b73d4,213,1106
923bf1679f35a602e5d45ceb555782a4e4c353ec,85,221
f5dc0529908fb0d85a88c841687adb6e305eded1,104,404
8737f1acffdc6bae5079ce33b1135ad8c62fdd38,98,330
03986eb85605dcb6000dfe4567a7e516b3f3b6b8,205,1118
9dc85f4d95a477e118e4fe74a1059cf253d9813d,60,340
95b792b8b1a303742318dff56634dc4d8f099076,176,3912
a961312e7cde795abf12f7a77c05a315b943f52e,60,160
21d44cedfefb1b4ce1ba01fadab1d054330f55d0,60,160
bb830ad3c008c6b039ff97c3df2486e01e255e48,68,149
b6d7dffac6a1c5149786ce2bea06006780e976d9,68,180
a3b4561f1ca9fa0dda78cd0e5cb8fbbe861bf954,596,25339
2623c1c511948d969b388521ede862b1e98f4cc4,233,1491
3d23fe1e7ece84403e336571a8a3bb782d4bbc94,68,143
cb2bb37194715ced5adfa73248d486c15173d40b,336,2172
e21a221d0703ad1e696d1ddf2278335795ef0dfd,11,12
65e3d2c69620c2fb69fcd958e6126e4a0b569dad,350,1965
50cd8184425395ea34dce00d37fce50c48af9af2,130,724
05c3812f3c4133a1567bbe5ddf93f786f47cc1a1,30,37
8f1d0151bd2ee075749fd97afb36582bc654210d,36,61
3c2d6b257bedfdff3c4ce9a02517d63b79dbc5f9,46,147
ead8ad0a81116e1c953ce99e13649224a7779519,64,204
f748bc49d4a67be3441016747799733e6d520139,428,4645
3eb369c6ca575b4609b8c0cb4591260e51443621,184,1237
7b3782696bb99fc46990f2ddd576201430d2e1f4,56,199
60e9c6c04f96afed2c4196c4827e0c223bc22836,75,265
ee7890f3384b5c6307fea64cc07732854c76f59a,263,3687
19c5485861099ddd4644944e2e8fdb4bdf3ec6a1,436,48133
dda3c9b8f6da52e083d9f37f9b11e60c4f689c74,199,3505
5bfe5c8e3a69b79505cfc7a6398554a5d3771617,120,325
de158d525777b2f271cf473f74961fd91933c577,58,131
824751c5295a928f40ba36b9119e5f3e50cd7930,30,51
847661b086bda759cafec0082a1c20b65c623aaf,797,7667
9738fe3cf163a0f9c45d11e4f85337dd0208b40a,176,605
