metadata,unique_words,total_words
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,String,String)",6,9
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,Path,String)",7,9
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,String,Path)",7,9
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,String)",5,8
"org.apache.pig.backend.hadoop.datastorage.HFile.HFile(HDataStorage,Path)",4,6
org.apache.pig.backend.hadoop.datastorage.HFile.create(Properties),8,9
org.apache.pig.backend.hadoop.datastorage.HFile.open(Properties),5,5
org.apache.pig.backend.hadoop.datastorage.HFile.open(),5,5
org.apache.pig.backend.hadoop.datastorage.HFile.sopen(Properties),7,8
org.apache.pig.backend.hadoop.datastorage.HFile.sopen(),10,15
org.apache.pig.piggybank.test.storage.TestCommonLogLoader.testInstantiation(),5,14
org.apache.pig.piggybank.test.storage.TestCommonLogLoader.testLoadFromPigServer(),34,63
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(),5,7
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String),16,24
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(Throwable),18,29
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,Throwable)",23,46
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int)",18,35
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,Throwable)",25,57
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,byte)",20,44
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,byte,Throwable)",26,66
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,boolean)",20,41
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,byte,boolean)",22,50
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,byte,boolean,String)",26,70
"org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.MRCompilerException.MRCompilerException(String,int,byte,boolean,String,Throwable)",32,92
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,Path,Path)",6,9
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,String,String)",6,9
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,Path,String)",7,9
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,String,Path)",7,9
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,Path)",4,6
"org.apache.pig.backend.hadoop.datastorage.HDirectory.HDirectory(HDataStorage,String)",5,8
org.apache.pig.backend.hadoop.datastorage.HDirectory.create(Properties),11,14
"org.apache.pig.backend.hadoop.datastorage.HDirectory.copy(ContainerDescriptor,Properties,boolean)",25,105
org.apache.pig.backend.hadoop.datastorage.HDirectory.open(Properties),5,5
org.apache.pig.backend.hadoop.datastorage.HDirectory.open(),5,6
org.apache.pig.backend.hadoop.datastorage.HDirectory.sopen(Properties),7,8
org.apache.pig.backend.hadoop.datastorage.HDirectory.sopen(),7,9
org.apache.pig.backend.hadoop.datastorage.HDirectory.iterator(),22,70
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.ScalarPhyFinder.ScalarPhyFinder(PhysicalPlan),8,14
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.ScalarPhyFinder.getScalars(),4,5
org.apache.pig.backend.hadoop.executionengine.mapReduceLayer.plans.ScalarPhyFinder.visitUserFunc(POUserFunc),9,19
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.PatternNode(OperatorPlan),4,5
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.isLeafNode(),2,6
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.setLeafNode(boolean),5,17
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.isSourceNode(),2,6
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.setSourceNode(boolean),4,17
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.getClassName(),1,3
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.setClassName(Class<>),3,9
org.apache.pig.backend.hadoop.executionengine.physicalLayer.plans.PatternNode.getMatch(),2,4
