sha,change_type,name,additions,removals,context,message
73829b1ab018a20ab9d259c5393bf6de70d4193d,M,tika-parsers/src/test/java/org/apache/tika/parser/mbox/OutlookPSTParserTest.java,1,1,6,4
116476cebad9f58eb278e0e362c42d8d4f7126be,M,tika-core/src/main/resources/org/apache/tika/mime/tika-mimetypes.xml,12,0,6,4
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/main/java/org/apache/tika/mime/MimeType.java,127,230,73,11
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/main/java/org/apache/tika/mime/MimeTypes.java,74,37,37,11
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/main/java/org/apache/tika/mime/MimeTypesReader.java,42,138,22,11
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/main/java/org/apache/tika/parser/AutoDetectParser.java,5,2,12,11
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/main/resources/mime/tika-mimetypes.xml,1,1,6,11
4b126e887da913b559591eed21bebea8d48d2ae9,A,src/test/java/org/apache/tika/mime/MimeTypeTest.java,40,0,0,11
4b126e887da913b559591eed21bebea8d48d2ae9,A,src/test/java/org/apache/tika/mime/MimeTypesTest.java,54,0,0,11
4b126e887da913b559591eed21bebea8d48d2ae9,M,src/test/java/org/apache/tika/mime/TestMimeTypes.java,1,2,10,11
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,M,CHANGES.txt,3,0,6,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/WordExtractor.java,3,0,6,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,M,tika-parsers/src/test/java/org/apache/tika/parser/microsoft/WordParserTest.java,4,0,4,4
b9524f1c34bc9688305d9cf6c86222c8ad4e239b,A,tika-parsers/src/test/resources/test-documents/testWORD_tabular_symbol.doc,0,0,0,4
8845ee789cd628aa3ba6a4c40c93331faffb57f5,M,CHANGES.txt,6,0,4,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,pom.xml,4,4,15,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,tika-app/pom.xml,1,1,6,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,tika-bundle/pom.xml,1,1,6,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,tika-core/pom.xml,1,1,6,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,tika-parent/pom.xml,1,8,10,4
0fd103203fe4e17b1be78751ff11500e6f7da994,M,tika-parsers/pom.xml,1,1,6,4
97927cfa03d0f84bbeb52cfbb0817c169e800200,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/ExcelExtractor.java,1,0,6,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlHandler.java,8,8,37,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,A,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlMapper.java,54,0,0,4
f8c3210d63a4b3f1fc5d56ed9404c743afdb5a2e,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlParser.java,22,1,14,4
8ed464c3422d8418b5e807bdeffaa01083aa51e7,M,tika-parsers/src/test/java/org/apache/tika/parser/mail/RFC822ParserTest.java,31,4,30,4
d966d3531faee373ed15f9768052fdf19c7150b9,M,src/main/resources/mime/tika-mimetypes.xml,116,0,6,6
d966d3531faee373ed15f9768052fdf19c7150b9,M,src/test/java/org/apache/tika/mime/TestMimeTypes.java,36,0,6,6
327e2acda87e192ad6656f1b43d90df14479f429,M,CHANGES.txt,1,1,6,4
327e2acda87e192ad6656f1b43d90df14479f429,M,tika-parsers/src/main/java/org/apache/tika/parser/html/HtmlParser.java,3,2,9,4
327e2acda87e192ad6656f1b43d90df14479f429,M,tika-parsers/src/test/java/org/apache/tika/parser/html/HtmlParserTest.java,15,0,4,4
327e2acda87e192ad6656f1b43d90df14479f429,A,tika-parsers/src/test/resources/test-documents/big-preamble.html,827,0,0,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,pom.xml,4,4,15,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-app/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-bundle/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-core/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-java7/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-parent/pom.xml,4,4,11,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-parsers/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-serialization/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-server/pom.xml,4,4,12,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-translate/pom.xml,5,5,18,4
c3c1c19f7590e0d9b1ed8eebc2ec81fc3e69d53a,M,tika-xmp/pom.xml,4,4,12,4
ab914912ffa7394185d29d71ee15b38157d58a48,M,tika-core/src/main/java/org/apache/tika/mime/MimeTypes.java,1,1,6,4
ab914912ffa7394185d29d71ee15b38157d58a48,M,tika-core/src/main/java/org/apache/tika/parser/external/ExternalParsersFactory.java,9,0,16,4
159fcf1ba8ed2ff2643b836e3f21f84b4c8a54aa,M,tika-core/src/main/resources/org/apache/tika/mime/tika-mimetypes.xml,28,33,172,6
b10cc50cc7405716d172602b37c833525583b06b,M,pom.xml,4,4,15,4
b10cc50cc7405716d172602b37c833525583b06b,M,tika-app/pom.xml,1,1,6,4
b10cc50cc7405716d172602b37c833525583b06b,M,tika-bundle/pom.xml,1,1,6,4
b10cc50cc7405716d172602b37c833525583b06b,M,tika-core/pom.xml,1,1,6,4
b10cc50cc7405716d172602b37c833525583b06b,M,tika-parent/pom.xml,1,7,10,4
