sha,issues,change_type,name,additions,removals,context,message
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/Parser.java,53,5,34,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/html/HtmlParser.java,13,50,29,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/msexcel/MsExcelParser.java,11,46,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/mspowerpoint/MsPowerPointParser.java,13,47,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/msword/MsWordParser.java,11,48,16,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/opendocument/OpenOfficeParser.java,10,35,38,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/pdf/PDFParser.java,43,128,31,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/rtf/RTFParser.java,12,48,19,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/txt/TXTParser.java,11,60,18,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/parser/xml/XMLParser.java,13,37,29,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/utils/MSExtractor.java,3,4,23,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/main/java/org/apache/tika/utils/ParseUtils.java,1,3,5,4
cfe3527af83d582d12a43a6f42ff30bd2d15a379,31,M,src/test/java/org/apache/tika/TestParsers.java,0,1,6,4
11476e2be37bfb25d886a41690aa80bbb406bb27,335,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetDetector.java,34,10,64,6
11476e2be37bfb25d886a41690aa80bbb406bb27,335,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/CharsetMatch.java,3,3,16,6
11476e2be37bfb25d886a41690aa80bbb406bb27,335,M,tika-parsers/src/main/java/org/apache/tika/parser/txt/TXTParser.java,9,3,19,6
11476e2be37bfb25d886a41690aa80bbb406bb27,335,M,tika-parsers/src/test/java/org/apache/tika/parser/txt/TXTParserTest.java,32,4,36,6
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/extractor/ParserContainerExtractor.java,9,4,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/extractor/ParsingEmbeddedDocumentExtractor.java,3,3,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/io/TemporaryFiles.java,9,14,10,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,A,tika-core/src/main/java/org/apache/tika/io/TemporaryResources.java,156,0,0,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/io/TikaInputStream.java,90,100,128,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/parser/AutoDetectParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/parser/CompositeParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/parser/NetworkParser.java,2,2,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-core/src/main/java/org/apache/tika/parser/external/ExternalParser.java,3,4,12,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-parsers/src/main/java/org/apache/tika/parser/jpeg/JpegParser.java,2,3,18,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/OfficeParser.java,7,7,6,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-parsers/src/main/java/org/apache/tika/parser/microsoft/POIFSContainerDetector.java,37,39,28,12
e70bf2c143d7ce47c5ec4c926d4ae1aa5d565e41,701,M,tika-parsers/src/main/java/org/apache/tika/parser/pkg/ZipContainerDetector.java,3,3,18,12
